id,word_id,content
1,1,morning
2,2,i
3,3,we
4,4,someone
5,5,a lamp
6,6,staff
7,7,a car
8,8,fruit
9,9,family
10,10,go a lone
11,11,go
12,12,visit
13,13,return
14,14,flower
15,15,paper
16,16,draught
17,17,this
18,18,that
19,19,power
20,20,past
21,21,yet
22,22,cat
23,23,dog
24,24,fish
25,25,school
26,26,earth
27,27,comb
28,28,cotton
29,29,stairs
30,30,this morning
31,31,bamboo
32,32,clew
33,33,telephone
34,34,bullet train
35,35,what time
36,36,listen
37,37,call
38,38,send
39,39,receive
40,40,study
41,41,work
42,42,tốt bụng
43,43,yên tĩnh
44,44,rất
45,45,đẹp hay
46,46,náo nhiệt
47,47,cuộc sống
48,48,và
49,49,học
50,50,cái nào
51,51,công việc
52,52,nơi
53,53,bận
54,54,rẻ
55,55,thấp
56,56,nóng
57,57,tiện lợi
58,58,khỏe
59,59,nổi tiếng
60,60,đẹp
61,61,to lớn
62,62,phố thị trấn
63,63,đúng thế nhỉ
64,64,cũ
65,65,đồ ăn
66,66,xe ô tô
67,67,kí túc xá
68,68,núi
69,69,ngon
70,70,lạnh thời tiết
71,71,lạnh cảm giác
72,72,khó
73,73,xấu
74,74,tốt
75,75,mới
76,76,bé
77,77,đỏ
78,78,đen
79,79,trắng
80,80,xanh da trời
81,81,vui vẻ
82,82,thú vị
83,83,đẹp trai
84,84,hoa anh đào
85,85,chữ Hiragana
86,86,thật đáng tiếc nhỉ
87,87,buổi hòa nhạc
88,88,tiền lẻ
89,89,món ăn
90,90,cuộc hẹn
91,91,chữ la tinh
92,92,vé
93,93,chồng người khác
94,94,đại khái
95,95,việc bận
96,96,tốt/rõ
97,97,bóng chày
98,98,nhạc cổ điển
99,99,giỏi
100,100,thích
101,101,âm nhạc
102,102,thể thao
103,103,vợ mình
104,104,sớm
105,105,chồng mình
106,106,con cái
107,107,hoàn toàn...không
108,108,tại sao
